2000000
code	freq(hz)
0x16b	343.4065934065934
0x16c	342.4657534246575
0x16d	341.53005464480873
0x16e	340.59945504087193
0x16f	339.67391304347825
0x170	338.75338753387535
0x171	337.8378378378378
0x172	336.92722371967653
0x173	336.02150537634407
0x174	335.1206434316354
0x175	334.2245989304813
0x176	333.3333333333333
0x177	332.4468085106383
0x178	331.56498673740055
0x179	330.6878306878307
0x17a	329.81530343007915
0x17b	328.94736842105266
0x17c	328.0839895013123
0x17d	327.22513089005236
0x17e	326.37075718015666
0x17f	325.5208333333333
0x180	324.6753246753247
0x181	323.8341968911917
0x182	322.99741602067184
0x183	322.16494845360825
0x184	321.3367609254499
0x185	320.5128205128205
0x186	319.693094629156
0x187	318.8775510204082
0x188	318.06615776081424
0x189	317.25888324873097
0x18a	316.45569620253167
0x18b	315.65656565656565
0x18c	314.86146095717885
0x18d	314.07035175879395
0x18e	313.28320802005015
0x18f	312.5
0x190	311.7206982543641
0x191	310.9452736318408
0x192	310.17369727047145
0x193	309.4059405940594
0x194	308.641975308642
0x195	307.8817733990148
0x196	307.12530712530713
0x197	306.37254901960785
0x198	305.6234718826406
0x199	304.8780487804878
0x19a	304.1362530413625
0x19b	303.3980582524272
0x19c	302.6634382566586
0x19d	301.9323671497585
0x19e	301.2048192771084
0x19f	300.4807692307692
0x1a0	299.7601918465228
0x1a1	299.0430622009569
0x1a2	298.32935560859187
0x1a3	297.6190476190476
0x1a4	296.91211401425176
0x1a5	296.2085308056872
0x1a6	295.5082742316785
0x1a7	294.811320754717
0x1a8	294.11764705882354
0x1a9	293.42723004694835
0x1aa	292.7400468384075
0x1ab	292.05607476635515
0x1ac	291.3752913752914
0x1ad	290.69767441860466
0x1ae	290.0232018561485
0x1af	289.35185185185185
0x1b0	288.6836027713626
0x1b1	288.0184331797235
0x1b2	287.35632183908046
0x1b3	286.697247706422
0x1b4	286.0411899313501
0x1b5	285.38812785388126
0x1b6	284.7380410022779
0x1b7	284.09090909090907
0x1b8	283.4467120181406
0x1b9	282.80542986425337
0x1ba	282.16704288939053
0x1bb	281.5315315315315
0x1bc	280.8988764044944
0x1bd	280.2690582959641
0x1be	279.6420581655481
0x1bf	279.01785714285717
0x1c0	278.39643652561244
0x1c1	277.77777777777777
0x1c2	277.1618625277162
0x1c3	276.5486725663717
0x1c4	275.9381898454746
0x1c5	275.3303964757709
0x1c6	274.72527472527474
0x1c7	274.12280701754383
0x1c8	273.52297592997814
0x1c9	272.92576419213975
0x1ca	272.33115468409585
0x1cb	271.7391304347826
0x1cc	271.14967462039044
0x1cd	270.56277056277054
0x1ce	269.97840172786175
0x1cf	269.3965517241379
0x1d0	268.81720430107526
0x1d1	268.2403433476395
0x1d2	267.6659528907923
0x1d3	267.0940170940171
0x1d4	266.52452025586354
0x1d5	265.9574468085106
0x1d6	265.3927813163482
0x1d7	264.8305084745763
0x1d8	264.2706131078224
0x1d9	263.71308016877634
0x1da	263.1578947368421
0x1db	262.60504201680675
0x1dc	262.0545073375262
0x1dd	261.5062761506276
0x1de	260.96033402922757
0x1df	260.4166666666667
0x1e0	259.87525987525987
0x1e1	259.33609958506224
0x1e2	258.7991718426501
0x1e3	258.26446280991735
0x1e4	257.7319587628866
0x1e5	257.201646090535
0x1e6	256.6735112936345
0x1e7	256.1475409836066
0x1e8	255.6237218813906
0x1e9	255.10204081632654
0x1ea	254.5824847250509
0x1eb	254.0650406504065
0x1ec	253.5496957403651
0x1ed	253.03643724696357
0x1ee	252.5252525252525
0x1ef	252.01612903225808
0x1f0	251.50905432595573
0x1f1	251.00401606425703
0x1f2	250.50100200400803
0x1f3	250.0
0x1f4	249.500998003992
0x1f5	249.003984063745
0x1f6	248.5089463220676
0x1f7	248.015873015873
0x1f8	247.52475247524754
0x1f9	247.03557312252966
0x1fa	246.5483234714004
0x1fb	246.06299212598427
0x1fc	245.5795677799607
0x1fd	245.09803921568627
0x1fe	244.61839530332682
0x1ff	244.140625
0x200	243.66471734892787
0x201	243.19066147859922
0x202	242.71844660194174
0x203	242.24806201550388
0x204	241.77949709864603
0x205	241.3127413127413
0x206	240.84778420038535
0x207	240.3846153846154
0x208	239.9232245681382
0x209	239.46360153256705
0x20a	239.0057361376673
0x20b	238.54961832061068
0x20c	238.0952380952381
0x20d	237.6425855513308
0x20e	237.19165085388994
0x20f	236.74242424242425
0x210	236.29489603024575
0x211	235.8490566037736
0x212	235.40489642184556
0x213	234.9624060150376
0x214	234.52157598499062
0x215	234.0823970037453
0x216	233.6448598130841
0x217	233.2089552238806
0x218	232.77467411545624
0x219	232.34200743494424
0x21a	231.9109461966605
0x21b	231.4814814814815
0x21c	231.0536044362292
0x21d	230.62730627306274
0x21e	230.2025782688766
0x21f	229.77941176470588
0x220	229.3577981651376
0x221	228.93772893772893
0x222	228.51919561243145
0x223	228.1021897810219
0x224	227.68670309653916
0x225	227.27272727272728
0x226	226.86025408348456
0x227	226.44927536231884
0x228	226.03978300180833
0x229	225.6317689530686
0x22a	225.22522522522522
0x22b	224.82014388489208
0x22c	224.4165170556553
0x22d	224.01433691756273
0x22e	223.61359570661895
0x22f	223.21428571428572
0x230	222.81639928698752
0x231	222.41992882562278
0x232	222.02486678507992
0x233	221.63120567375887
0x234	221.23893805309734
0x235	220.84805653710248
0x236	220.4585537918871
0x237	220.07042253521126
0x238	219.6836555360281
0x239	219.2982456140351
0x23a	218.91418563922943
0x23b	218.53146853146853
0x23c	218.1500872600349
0x23d	217.77003484320556
0x23e	217.3913043478261
0x23f	217.01388888888889
0x240	216.63778162911612
0x241	216.26297577854672
0x242	215.88946459412782
0x243	215.51724137931035
0x244	215.14629948364887
0x245	214.7766323024055
0x246	214.4082332761578
0x247	214.04109589041096
0x248	213.67521367521368
0x249	213.31058020477815
0x24a	212.94718909710392
0x24b	212.58503401360545
0x24c	212.22410865874363
0x24d	211.864406779661
0x24e	211.50592216582064
0x24f	211.14864864864865
0x250	210.79258010118045
0x251	210.43771043771045
0x252	210.08403361344537
0x253	209.73154362416108
0x254	209.38023450586266
0x255	209.03010033444815
0x256	208.6811352253756
0x257	208.33333333333334
0x258	207.98668885191347
0x259	207.64119601328903
0x25a	207.29684908789386
0x25b	206.95364238410596
0x25c	206.61157024793388
0x25d	206.27062706270627
0x25e	205.9308072487644
0x25f	205.5921052631579
0x260	205.2545155993432
0x261	204.91803278688525
0x262	204.58265139116202
0x263	204.2483660130719
0x264	203.9151712887439
0x265	203.5830618892508
0x266	203.2520325203252
0x267	202.92207792207793
0x268	202.5931928687196
0x269	202.26537216828478
0x26a	201.93861066235866
0x26b	201.61290322580646
0x26c	201.28824476650564
0x26d	200.96463022508038
0x26e	200.64205457463885
0x26f	200.32051282051282
0x270	200.0
0x271	199.68051118210863
0x272	199.36204146730464
0x273	199.04458598726114
0x274	198.7281399046105
0x275	198.4126984126984
0x276	198.09825673534073
0x277	197.78481012658227
0x278	197.47235387045814
0x279	197.1608832807571
0x27a	196.8503937007874
0x27b	196.54088050314465
0x27c	196.23233908948194
0x27d	195.92476489028212
0x27e	195.61815336463224
0x27f	195.3125
0x280	195.00780031201248
0x281	194.70404984423675
0x282	194.4012441679627
0x283	194.09937888198758
0x284	193.7984496124031
0x285	193.4984520123839
0x286	193.19938176197837
0x287	192.90123456790124
0x288	192.6040061633282
0x289	192.30769230769232
0x28a	192.01228878648234
0x28b	191.71779141104295
0x28c	191.42419601837673
0x28d	191.131498470948
0x28e	190.83969465648855
0x28f	190.5487804878049
0x290	190.2587519025875
0x291	189.9696048632219
0x292	189.6813353566009
0x293	189.3939393939394
0x294	189.10741301059002
0x295	188.82175226586102
0x296	188.5369532428356
0x297	188.25301204819277
0x298	187.9699248120301
0x299	187.68768768768768
0x29a	187.4062968515742
0x29b	187.125748502994
0x29c	186.84603886397608
0x29d	186.56716417910448
0x29e	186.28912071535024
0x29f	186.01190476190476
0x2a0	185.73551263001485
0x2a1	185.459940652819
0x2a2	185.1851851851852
0x2a3	184.9112426035503
0x2a4	184.6381093057607
0x2a5	184.36578171091446
0x2a6	184.0942562592047
0x2a7	183.8235294117647
0x2a8	183.55359765051395
0x2a9	183.28445747800586
0x2aa	183.01610541727672
0x2ab	182.7485380116959
0x2ac	182.4817518248175
0x2ad	182.21574344023324
0x2ae	181.9505094614265
0x2af	181.6860465116279
0x2b0	181.42235123367198
0x2b1	181.15942028985506
0x2b2	180.8972503617945
0x2b3	180.635838150289
0x2b4	180.37518037518038
0x2b5	180.11527377521614
0x2b6	179.85611510791367
0x2b7	179.5977011494253
0x2b8	179.3400286944046
0x2b9	179.0830945558739
0x2ba	178.826895565093
0x2bb	178.57142857142858
0x2bc	178.3166904422254
0x2bd	178.06267806267806
0x2be	177.8093883357041
0x2bf	177.5568181818182
0x2c0	177.3049645390071
0x2c1	177.05382436260624
0x2c2	176.8033946251768
0x2c3	176.5536723163842
0x2c4	176.30465444287728
0x2c5	176.05633802816902
0x2c6	175.8087201125176
0x2c7	175.56179775280899
0x2c8	175.3155680224404
0x2c9	175.07002801120447
0x2ca	174.82517482517483
0x2cb	174.58100558659217
0x2cc	174.33751743375174
0x2cd	174.09470752089138
0x2ce	173.85257301808068
0x2cf	173.61111111111111
0x2d0	173.37031900138697
0x2d1	173.13019390581718
0x2d2	172.89073305670817
0x2d3	172.65193370165747
0x2d4	172.41379310344828
0x2d5	172.1763085399449
0x2d6	171.939477303989
0x2d7	171.7032967032967
0x2d8	171.46776406035664
0x2d9	171.23287671232876
0x2da	170.9986320109439
0x2db	170.76502732240436
